,City,Lat,Lng,Max_Temp,Humidity,Cloudiness,Wind_Speed,Country,Data
0,nikolskoye,59.7,30.79,44.6,70.0,75.0,6.71,RU,1619163102
1,punta arenas,-53.15,-70.92,44.6,100.0,90.0,3.44,CL,1619163103
2,olafsvik,64.89,-23.71,42.17,91.0,100.0,16.4,IS,1619163103
3,valdivia,-39.81,-73.25,50.0,100.0,90.0,2.3,CL,1619163104
4,yellowknife,62.46,-114.35,12.2,62.0,90.0,4.61,CA,1619163104
5,vaini,-21.2,-175.2,78.8,94.0,40.0,1.14,TO,1619163105
6,rikitea,-23.12,-134.97,77.74,79.0,37.0,18.39,PF,1619163105
7,sosnogorsk,63.6,53.88,43.21,82.0,100.0,9.48,RU,1619163106
8,rio grande,-32.03,-52.1,60.01,95.0,100.0,13.89,BR,1619163107
9,jeremie,18.65,-74.12,75.87,82.0,21.0,1.81,HT,1619163108
10,cape town,-33.93,18.42,62.6,82.0,75.0,9.22,ZA,1619163108
11,kosum phisai,16.25,103.07,99.0,46.0,75.0,2.3,TH,1619163109
12,mataura,-46.19,168.86,50.0,95.0,100.0,4.0,NZ,1619163109
13,sabla,12.75,4.71,92.53,34.0,100.0,14.83,NG,1619163110
14,marseille,43.33,5.5,61.0,67.0,0.0,2.3,FR,1619162933
15,blagoyevo,63.37,47.92,48.51,64.0,85.0,9.84,RU,1619163111
16,east london,-33.02,27.91,69.8,73.0,0.0,8.05,ZA,1619163111
17,guanica,17.97,-66.91,72.0,82.0,47.0,6.96,PR,1619163112
18,kulhudhuffushi,6.62,73.07,83.17,73.0,43.0,6.04,MV,1619163112
19,nantong,32.03,120.87,73.99,69.0,96.0,1.99,CN,1619163113
20,la palma,33.85,-118.05,59.0,82.0,90.0,8.05,US,1619163113
21,magistralnyy,56.17,107.45,41.88,43.0,13.0,4.45,RU,1619163114
22,bengkulu,-3.8,102.27,83.44,69.0,45.0,7.47,ID,1619163115
23,egvekinot,66.32,-179.17,19.22,73.0,31.0,5.41,RU,1619163115
24,atuona,-9.8,-139.03,80.35,81.0,48.0,23.22,PF,1619163116
25,rawson,-43.3,-65.1,55.45,81.0,54.0,8.48,AR,1619163116
26,tasiilaq,65.61,-37.64,28.4,69.0,90.0,2.3,GL,1619163117
27,maumere,-8.62,122.21,83.05,70.0,30.0,2.26,ID,1619163117
28,jamestown,42.1,-79.24,27.0,93.0,1.0,18.41,US,1619163118
29,zalantun,48.0,122.72,52.05,41.0,41.0,13.71,CN,1619163118
30,dale,38.17,-86.99,41.0,87.0,1.0,5.01,US,1619163119
31,geraldton,-28.77,114.6,84.2,28.0,100.0,9.22,AU,1619163119
32,cabo san lucas,22.89,-109.91,71.01,54.0,68.0,15.55,MX,1619162958
33,butaritari,3.07,172.79,83.01,73.0,94.0,8.48,KI,1619163120
34,ushuaia,-54.8,-68.3,41.0,93.0,75.0,3.44,AR,1619163121
35,vardo,70.37,31.11,37.4,56.0,20.0,8.05,NO,1619163121
36,barrow,71.29,-156.79,17.6,79.0,1.0,3.44,US,1619163122
37,thompson,55.74,-97.86,12.2,67.0,40.0,3.44,CA,1619163123
38,kununurra,-15.77,128.73,93.2,24.0,21.0,9.22,AU,1619163123
